No	TMNo	EnNo	Name	GMNo	Mode	In/Out	Antipass	ProxyWork	DateTime
1	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-17 08:12:15
2	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-17 08:18:30
3	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-17 08:25:40
4	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-17 08:30:45
5	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-17 08:35:20
6	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-17 08:42:30
7	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-17 08:48:15
8	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-17 08:55:30
9	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-17 09:02:45
10	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-17 09:08:30
11	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-17 09:15:20
12	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-17 09:22:30
13	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-17 09:28:15
14	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-17 09:35:40
15	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-17 09:42:10
16	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-17 09:48:50
17	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-17 09:55:25
18	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-17 18:05:30
19	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-17 18:12:15
20	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-17 18:18:45
21	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-17 18:25:30
22	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-17 18:32:20
23	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-17 18:40:15
24	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-17 18:48:30
25	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-17 18:55:40
26	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-17 19:02:10
27	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-17 19:08:25
